time,vs,dvs,hs,dist,alt,ang,weight,acc,fuel
251,25.31004021,24,568.2312194,-190329.4674,7871.668649,58.3,245.8345693,2.034273134,80.83456926
252,25.32092791,24,566.5004372,-190895.9679,7846.347721,58.3,245.6581807,2.037636323,80.65818074
253,25.33169972,24,564.7667936,-191460.7346,7821.016021,58.3,245.4816274,2.041006933,80.48162741
254,25.34235448,24,563.0302822,-192023.7649,7795.673666,58.3,245.3049092,2.044384996,80.30490918
255,25.35289099,24,561.2908968,-192585.0558,7770.320776,58.3,245.1280259,2.047770545,80.12802594
256,25.36330807,24,559.5486308,-193144.6045,7744.957467,58.3,244.9509776,2.051163615,79.95097758
257,25.37360452,24,557.803478,-193702.4079,7719.583863,58.3,244.773764,2.05456424,79.773764
258,25.38377911,24,556.055432,-194258.4634,7694.200084,58.3,244.5963851,2.057972454,79.59638507
259,25.39383063,24,554.3044861,-194812.7679,7668.806253,58.3,244.4188407,2.061388292,79.4188407
260,25.40375783,24,552.5506341,-195365.3185,7643.402495,58.3,244.2411308,2.064811789,79.24113077
261,25.41355946,24,550.7938693,-195916.1124,7617.988936,58.3,244.0632552,2.068242982,79.06325517
262,25.42323425,24,549.0341852,-196465.1465,7592.565702,58.3,243.8852138,2.071681906,78.88521378
263,25.43278093,24,547.2715752,-197012.4181,7567.132921,58.3,243.7070065,2.075128598,78.70700649
264,25.44219822,24,545.5060327,-197557.9241,7541.690722,58.3,243.5286332,2.078583094,78.52863319
265,25.45148479,24,543.7375511,-198101.6617,7516.239238,58.3,243.3500938,2.082045432,78.35009376
266,25.46063935,24,541.9661237,-198643.6278,7490.778598,58.3,243.1713881,2.08551565,78.17138809
267,25.46966055,24,540.1917439,-199183.8196,7465.308938,58.3,242.992516,2.088993786,77.99251604
268,25.47854707,24,538.4144047,-199722.234,7439.830391,58.3,242.8134775,2.092479879,77.81347751
269,25.48729752,24,536.6340996,-200258.8681,7414.343093,58.3,242.6342724,2.095973967,77.63427237
270,25.49591056,24,534.8508217,-200793.7189,7388.847183,58.3,242.4549005,2.09947609,77.45490051
271,25.50438478,24,533.0645641,-201326.7835,7363.342798,58.3,242.2753618,2.102986288,77.27536179
272,25.5127188,24,531.27532,-201858.0588,7337.830079,58.3,242.0956561,2.106504602,77.0956561
273,25.52091119,24,529.4830825,-202387.5419,7312.309168,58.3,241.9157833,2.110031072,76.91578331
